Name,Quelle,Gruppe,Volk,Klasse,Stufe,Fähigkeiten,Upgrade,KÖR,AGI,GEI,ST,BE,VE,HÄ,GE,AU,Lebenskraft,Initiative,Laufen,Abwehr,Schlagen,Schiessen,Zauber,Zielzauber,GH,GK,EP,Talente,Fähigkeiten Schlüssel,Waffen,Panzerung,Ausrüstung,Zaubersprüche
Freiländer Dämonenjäger,Slayerforum,Mensch,Mensch,Hei,1,Talentiert,,6,6,8,0,0,1,2,5,2,18,8,4,9,7,14,9,,1,no,54,"Diener des Lichts I, Fieser Schuss I, Schnelle Reflexe I, Schütze I, Wahrnehmung I","Diener des Lichts I: DS4Talent.servantoflight.description, Fieser Schuss I: DS4Talent.meanshot.description, Schnelle Reflexe I: DS4Talent.quickreflexes.description, Schütze I: DS4Talent.shooter.description, Wahrnehmung I: DS4Talent.perception.description","Armbrust, leicht (2h) (WB+2, INI-2), Kurzschwert (WB+1)",Lederpanzer (PA+1),,Wasser weihen (0)
Funkenfieper,Die verlassene Hütte im Spinnensumpf,Magische Wesen,,,,,,3,6,4,0,4,0,0,5,0,7,10,4,3,5,11,,12,1,kl,71,"Dunkelsicht, Geladen, Kletterläufer, Natürliche Waffen","Dunkelsicht: DS4CreatureTalent.darkvision.description, Geladen: DS4CreatureTalent.geladenfunkenfieper.description, Kletterläufer: DS4CreatureTalent.climb.description, Natürliche Waffen: DS4CreatureTalent.naturalweapons.description",Spitze Zähne (WB+2),,,"Blitz (+3), Kettenblitz (+3)"
Galen,Slay! #2,Mensch,Mensch,Zau,2,Talentiert,,5,7,8,0,0,2,0,5,5,15,9,4.5,5,6,12,13,,1,no,52,"Bildung I, Charmant I, Diebeskunst I, Heimlichkeit I, Schlitzohr I, Schnelle Reflexe I, Wissensgebiet I","Bildung I: DS4Talent.education.description, Charmant I: DS4Talent.charmant.description, Diebeskunst I: DS4Talent.thief.description, Heimlichkeit I: DS4Talent.creepy.description, Schlitzohr I: DS4Talent.rascal.description, Schnelle Reflexe I: DS4Talent.quickreflexes.description, Wissensgebiet I: DS4Talent.knowledge.description","Kampfstab (2h) (WB+1, Zielzauber +1)",Robe (runenbestickt) (Aura +1),,"Versetzte Stimme (-1/10m), Zaubertrick (0)"
Gargyl,Dungeonslayers Basisbox,Magische Wesen,,,,,,7,7,1,2,1,0,2,2,1,10,8,4.5,13,11,9,,,6,kl,91,"Anfällig, Dunkelsicht, Fliegen, Geistesimmun, Kletterläufer, Natürliche Waffen, Sturzangriff","Anfällig: DS4CreatureTalent.weaknessair.description, Dunkelsicht: DS4CreatureTalent.darkvision.description, Fliegen: DS4CreatureTalent.fly.description, Geistesimmun: DS4CreatureTalent.mentalimmunity.description, Kletterläufer: DS4CreatureTalent.climb.description, Natürliche Waffen: DS4CreatureTalent.naturalweapons.description, Sturzangriff: DS4CreatureTalent.stuka.description",Steinpranke (WB+2),Steinwesen (PA+4),,
Geist,Dungeonslayers Basisbox,Untote,,,,,,1,11,10,16,0,3,16,2,6,27,11,6.5,25,19,13,16,,24,no,279,"Angst, Alterung, Dunkelsicht, Fliegen, Geistesimmun, Körperlos, Nur durch Magie verletzbar, Totenkraft, Wesen der Dunkelheit / Wesen des Lichts (Settingoption)","Angst: DS4CreatureTalent.fear2.description, Alterung: DS4CreatureTalent.agingx.description, Dunkelsicht: DS4CreatureTalent.darkvision.description, Fliegen: DS4CreatureTalent.fly.description, Geistesimmun: DS4CreatureTalent.mentalimmunity.description, Körperlos: DS4CreatureTalent.withoutbody.description, Nur durch Magie verletzbar: DS4CreatureTalent.vulnerablewithmagic.description, Totenkraft: DS4CreatureTalent.forceofdeath.description, Wesen der Dunkelheit / Wesen des Lichts (Settingoption): DS4CreatureTalent.creatureoflightordarkness.description","Geisterklaue (WB+2, GA-2)",Körperlos (PA+8),,Terror (-(GEI+VE)/2)
Geistpeiniger,Geistpeiniger,Magische Wesen,,,,,,14,11,19,3,0,5,4,4,6,28,11,6.5,20,19,22,25,,29,no,323,"Mehrere Angriffe (+3), Gedankensturm, Antimagie, Natürliche Waffen, Werteverlust","Mehrere Angriffe (+3): DS4CreatureTalent.multipleattacks3.description, Gedankensturm: DS4CreatureTalent.mindstorm.description, Antimagie: DS4CreatureTalent.antimagie.description, Natürliche Waffen: DS4CreatureTalent.naturalweapons.description, Werteverlust: DS4CreatureTalent.lossattribute.description","Gedankensturm (WB+7), Tentakel (WB+2)",Lederhaut (PA+2),,"Ebenentor (-8), Fliegen (0), Freund (-(GEI+VE)/2), Gehorche (-(GEI+VE)/2), Kleiner Terror (-(GEI+VE)/2), Verwirren (-(GEI+AU)/2)"
Getreuer Dammenhalls,D2GO #20,Untote,,,,,Heroisch,10,8,0,8,2,0,8,2,0,140,11,5,27,23,10,,,22,no,428,"Angst, Alterung, Geistesimmun, Wesen der Dunkelheit (Settingoption)","Angst: DS4CreatureTalent.fear1.description, Alterung: DS4CreatureTalent.aging1.description, Geistesimmun: DS4CreatureTalent.mentalimmunity.description, Wesen der Dunkelheit (Settingoption): DS4CreatureTalent.creatureofdarkness.description","mag. Langschwert +1 (WB+3, INI+1, GA-1)","mag. Kettenpanzer +1 (PA+3), mag. Metallhelm +1 (PA+2), mag. Metallschild +1 (PA+2)",,
Gisamor,Die Hallen der Reinigung,Magische Wesen,,,,,Anführer,12,7,7,5,4,4,5,4,4,54,11,4.5,23,22,13,11,13,10,no,382,"Dunkelsicht, Sturmangriff, Wesen der Dunkelheit (Settingoption)","Dunkelsicht: DS4CreatureTalent.darkvision.description, Sturmangriff: DS4CreatureTalent.charge.description, Wesen der Dunkelheit (Settingoption): DS4CreatureTalent.creatureofdarkness.description","Schattenklinge (WB+3, GA-4), Feuerlanze (WB+2)",Schattenrüstung (PA+4),,"Feuerlanze (+2), Skelette erwecken (0)"
Glitzerhand (Dieb),Avakars Runde,Elf,Elf,SPÄ,6,"Nachtsicht, Unsterblich, Leichtfüßig",,6,8,6,0,2,4,2,7,0,18,12,5,10,7,18,,,1,no,58,"Diebeskunst III, Wahrnehmung III, Genesung I, Fieser Schuss I, Jäger I, Schütze I","Diebeskunst III: DS4Talent.thief.description, Wahrnehmung III: DS4Talent.perception.description, Genesung I: DS4Talent.recovery.description, Fieser Schuss I: DS4Talent.meanshot.description, Jäger I: DS4Talent.hunter.description, Schütze I: DS4Talent.shooter.description","Langbogen (2h) (WB+2, INI+1), mag. Dolch +1 (WB+1, INI+2, GA-1)","Lederpanzer (PA+1), Lederschienen (Arm & Bein) (PA+1)",,
Gloriel 'Die Kräuterhexe',Valen Coladris,Elf,Elf,Sch,1,"Nachtsicht, Unsterblich, Zielsicher",,7,5,8,0,0,3,2,3,3,19,6,3.5,9,7,9,,14,1,no,54,"Alchemie I, Feuermagier I, Wissensgebiet I, Zaubermacht I","Alchemie I: DS4Talent.alchemie.description, Feuermagier I: DS4Talent.firemage.description, Wissensgebiet I: DS4Talent.knowledge.description, Zaubermacht I: DS4Talent.powerofmagic.description",Dolch (INI+1),Robe (runenbestickt) (Aura +1),,Feuerstrahl (+2)
Gnomischer Illusionist,Slayerforum,Gnom,Gnom,Zau,1,"Dunkelsicht, Klein, Langlebig, Magisch begabt, Zäh, Zäher als sie aussehen",,6,6,8,0,0,2,0,4,5,16,6,4,7,7,10,14,,1,kl,50,"Bildung I, Charmant I, Schlitzohr I, Wahrnehmung I, Wissensgebiet I","Bildung I: DS4Talent.education.description, Charmant I: DS4Talent.charmant.description, Schlitzohr I: DS4Talent.rascal.description, Wahrnehmung I: DS4Talent.perception.description, Wissensgebiet I: DS4Talent.knowledge.description","Kampfstab (2h) (WB+1, Zielzauber +1)",Robe (runenbestickt) (Aura +1),,Zaubertrick (0)
Goblin,Dungeonslayers Basisbox,Humanoide,,,,,,5,7,3,2,2,1,1,2,0,8,9,4.5,7,7,9,,,1,kl,42,"Nachtsicht, Wesen der Dunkelheit (Settingoption)","Nachtsicht: DS4CreatureTalent.nightvision.description, Wesen der Dunkelheit (Settingoption): DS4CreatureTalent.creatureofdarkness.description",Wurfmesser,Felle (PA+1),,
Goblin Berserker,Slay! #1,Humanoide,,,,,,6,7,2,4,2,0,2,1,0,9,9,4.5,8,11,8,,,2,kl,64,"Nachtsicht, Sturmangriff, Wesen der Dunkelheit (Settingoption)","Nachtsicht: DS4CreatureTalent.nightvision.description, Sturmangriff: DS4CreatureTalent.charge.description, Wesen der Dunkelheit (Settingoption): DS4CreatureTalent.creatureofdarkness.description","Hammer (WB+1, GA-1)",Fellschurz,,
Goblin Bomber,Slay! #1,Humanoide,,,,,,4,8,3,0,2,1,3,3,0,9,10,5,8,4,14,,,1,kl,47,"Nachtsicht, Wesen der Dunkelheit (Settingoption)","Nachtsicht: DS4CreatureTalent.nightvision.description, Wesen der Dunkelheit (Settingoption): DS4CreatureTalent.creatureofdarkness.description",Brandbombe (WB+3),Felle (PA+1),,
Goblin Giftmörder,Slay! #1,Humanoide,,,,,,6,7,2,4,2,0,1,2,0,9,9,4.5,7,10,9,,,2,kl,63,"Gift, Mehrere Angriffe (+1), Nachtsicht, Wesen der Dunkelheit (Settingoption)","Gift: DS4CreatureTalent.poison.description, Mehrere Angriffe (+1): DS4CreatureTalent.multipleattacks1.description, Nachtsicht: DS4CreatureTalent.nightvision.description, Wesen der Dunkelheit (Settingoption): DS4CreatureTalent.creatureofdarkness.description",Dolch,Dunkler Lumpenumhang,,
Goblin Häuptling,Slay! #1,Humanoide,,,,,Anführer,5,7,3,3,2,2,3,2,1,18,9,4,12,11,9,,,2,kl,140,"Mehrere Angriffe (+1), Nachtsicht, Wesen der Dunkelheit (Settingoption)","Mehrere Angriffe (+1): DS4CreatureTalent.multipleattacks1.description, Nachtsicht: DS4CreatureTalent.nightvision.description, Wesen der Dunkelheit (Settingoption): DS4CreatureTalent.creatureofdarkness.description",Kurzschwert (WB+1),"Kettenpanzer (PA+2, LA-0.5)",,
Goblin Krieger,Slay! #1,Humanoide,,,,,,6,7,2,3,2,1,2,1,0,9,9,4.5,9,10,8,,,1,kl,45,"Nachtsicht, Wesen der Dunkelheit (Settingoption)","Nachtsicht: DS4CreatureTalent.nightvision.description, Wesen der Dunkelheit (Settingoption): DS4CreatureTalent.creatureofdarkness.description",Keule (WB+1),Lederpanzer (PA+1),,
Goblin Schamane,Slay! #1,Humanoide,,,,,Anführer,4,6,5,0,1,2,1,3,5,15,7,4,7,5,9,10,11,1,kl,112,"Nachtsicht, Wesen der Dunkelheit (Settingoption)","Nachtsicht: DS4CreatureTalent.nightvision.description, Wesen der Dunkelheit (Settingoption): DS4CreatureTalent.creatureofdarkness.description","Kampfstab (2h) (WB+1, Zielzauber +1)",Robe (runenbestickt) (Aura +1),,"Blenden (-(AGI+AU)/2), Heilende Hand (+1), Niesanfall (-(KÖR+AU)/2), Verteidigung (0)"
Goblin Späher,Slay! #1,Humanoide,,,,,,4,8,3,1,2,1,1,4,0,8,11,5,6,5,13,,,1,kl,44,"Nachtsicht, Wesen der Dunkelheit (Settingoption)","Nachtsicht: DS4CreatureTalent.nightvision.description, Wesen der Dunkelheit (Settingoption): DS4CreatureTalent.creatureofdarkness.description","Kurzbogen (2h) (WB+1, INI+1)",Felle (PA+1),,
Goblin Stadtratte,Slay! #1,Humanoide,,,,,,5,7,3,0,1,3,1,2,2,8,9,4.5,6,6,9,,,1,kl,43,"Nachtsicht, Wesen der Dunkelheit (Settingoption)","Nachtsicht: DS4CreatureTalent.nightvision.description, Wesen der Dunkelheit (Settingoption): DS4CreatureTalent.creatureofdarkness.description","Dolch (WB+1, INI+1)",Lumpen,,
Goblinrächer,Die Goblinarena,Humanoide,,,,,,5,7,3,2,2,1,1,2,0,8,9,4.5,7,8,10,,,1,kl,34,"Diener der Dunkelheit V, Vergeltung I, Vernichtender Schlag I","Diener der Dunkelheit V: DS4Talent.servantofdarkness.description, Vergeltung I: DS4Talent.vengeance.description, Vernichtender Schlag I: DS4Talent.devastatestrike.description",Axt (WB+1),Felle (PA+1),,
"Golem, Eisen-",Dungeonslayers Basisbox,Konstrukte,,,,,,20,5,0,5,2,0,6,0,0,72,7,4,31,31,5,,,27,gr,173,"Dunkelsicht, Geistesimmun, Schleudern, Sturmangriff, Zerstampfen","Dunkelsicht: DS4CreatureTalent.darkvision.description, Geistesimmun: DS4CreatureTalent.mentalimmunity.description, Schleudern: DS4CreatureTalent.throw.description, Sturmangriff: DS4CreatureTalent.charge.description, Zerstampfen: DS4CreatureTalent.trample.description",Eisenpranke (WB+6),Metallwesen (PA+5),,
"Golem, Knochen-",Dungeonslayers Basisbox,Konstrukte,,,,,,10,12,0,5,6,0,0,0,0,40,18,7.5,10,17,12,,,12,gr,148,"Mehrere Angriffe (+3), Dunkelsicht, Geistesimmun, Mehrere Angriffsglieder, Schleudern, Sturmangriff","Mehrere Angriffe (+3): DS4CreatureTalent.multipleattacksgolem.description, Dunkelsicht: DS4CreatureTalent.darkvision.description, Geistesimmun: DS4CreatureTalent.mentalimmunity.description, Mehrere Angriffsglieder: DS4CreatureTalent.multipleweaponsgolem.description, Schleudern: DS4CreatureTalent.throw.description, Sturmangriff: DS4CreatureTalent.charge.description",Knochenpranke (WB+2),,,
"Golem, Kristall-",Dungeonslayers Basisbox,Konstrukte,,,,,,8,10,4,3,0,0,3,5,0,42,10,6.5,14,13,15,,12,7,gr,134,"Dunkelsicht, Geistesimmun, Schleudern, Sturmangriff","Dunkelsicht: DS4CreatureTalent.darkvision.description, Geistesimmun: DS4CreatureTalent.mentalimmunity.description, Schleudern: DS4CreatureTalent.throw.description, Sturmangriff: DS4CreatureTalent.charge.description",Kristallpranke (WB+2),Kristallwesen (PA+3),,Blitz (+3)
"Golem, Lehm-",Dungeonslayers Basisbox,Konstrukte,,,,,,10,6,4,3,2,0,3,0,0,46,8,4.5,13,16,6,,,8,gr,114,"Dunkelsicht, Geistesimmun, Schleudern, Sturmangriff","Dunkelsicht: DS4CreatureTalent.darkvision.description, Geistesimmun: DS4CreatureTalent.mentalimmunity.description, Schleudern: DS4CreatureTalent.throw.description, Sturmangriff: DS4CreatureTalent.charge.description",Lehmpranke (WB+3),,,
"Golem, Stein-",Dungeonslayers Basisbox,Konstrukte,,,,,,18,4,4,4,0,0,5,2,0,66,4,3.5,27,26,6,,,23,gr,163,"Dunkelsicht, Geistesimmun, Schleudern, Sturmangriff, Zerstampfen","Dunkelsicht: DS4CreatureTalent.darkvision.description, Geistesimmun: DS4CreatureTalent.mentalimmunity.description, Schleudern: DS4CreatureTalent.throw.description, Sturmangriff: DS4CreatureTalent.charge.description, Zerstampfen: DS4CreatureTalent.trample.description",Steinpranke (WB+4),Steinwesen (PA+4),,
Gralbor Weißauge,Das Umbarla-Becken,Mensch,Mensch,Hei,9,Talentiert,,6,6,9,0,0,7,0,0,9,16,6,4,6,6,6,18,,1,no,73,"Fürsorger III, Magieresistent III, Wechsler III, Diener des Lichts II, Wissensgebiet II, Wissensgebiet II, Zaubermacht II, Wissensgebiet I","Fürsorger III: DS4Talent.welfare.description, Magieresistent III: DS4Talent.magicresistent.description, Wechsler III: DS4Talent.changer.description, Diener des Lichts II: DS4Talent.servantoflight.description, Wissensgebiet II: DS4Talent.knowledge.description, Wissensgebiet II: DS4Talent.knowledge.description, Zaubermacht II: DS4Talent.powerofmagic.description, Wissensgebiet I: DS4Talent.knowledge.description",,,"Stab (Arkane Explosion +III), Umhang (GEI +1)","Bannen (-(KÖR+AU)/2), Flackern (+1), Giftbann (0), Glühender Glaube (-2), Heilbeeren (+3), Heilende Aura (+3), Heilende Hand (+4), Schutzfeld (+3), Schutzkuppel (+3), Schutzschild (+3), Segen (0), Stossgebet (-(KÖR+AU)/2)"
Grottenschrat,Lockruf aus der Finsternis,Humanoide,,,,,,11,6,3,3,2,1,4,1,0,25,8,4,18,18,7,,,8,no,70,"Dunkelsicht, Natürliche Waffen","Dunkelsicht: DS4CreatureTalent.darkvision.description, Natürliche Waffen: DS4CreatureTalent.naturalweapons.description",Biss (WB+4),Dicke Haut (PA+3),,
Großmutter Gorla,Der Kult des Snarrk'Izz,Mensch,Mensch,Hei,8,Talentiert,,8,4,9,0,0,4,0,5,9,18,4,3,11,9,9,18,15,2,no,75,"Wissensgebiet III, Fürsorger II, Manipulator II, Heimlichkeit I, Alchemie I, Bildung I, Wahrnehmung I, Wechsler I, Zaubermacht I","Wissensgebiet III: DS4Talent.knowledge.description, Fürsorger II: DS4Talent.welfare.description, Manipulator II: DS4Talent.manipulator.description, Heimlichkeit I: DS4Talent.creepy.description, Alchemie I: DS4Talent.alchemie.description, Bildung I: DS4Talent.education.description, Wahrnehmung I: DS4Talent.perception.description, Wechsler I: DS4Talent.changer.description, Zaubermacht I: DS4Talent.powerofmagic.description","Kampfstab (2h) (WB+1, Zielzauber +1)",Robe (Geschick +3),"Amulett (Abwehr +3), Kapuzenumhang (Magieresistent +III)","Einschläfern (-(KÖR+VE)/2+2), Flackern (0), Freund (-(GEI+VE)/2+2), Giftbann (0), Halt (-(KÖR+AU)/2), Heilbeeren (+2), Heilende Aura (+2), Heilende Hand (+3), Licht (+5), Schutzschild (+2), Schweben (0), Segen (0), Wächter (0)"
Grufthauptmann,Das Geheimnis der heiligen Quelle,Mensch,Mensch,KRI,9,Talentiert,,8,7,5,10,1,1,5,2,0,23,8,3.5,22,24,9,,,13,no,111,"Kämpfer III, Parade III, Brutaler Hieb II, Magieresistent II","Kämpfer III: DS4Talent.fighter.description, Parade III: DS4Talent.parade.description, Brutaler Hieb II: DS4Talent.brutalstrike.description, Magieresistent II: DS4Talent.magicresistent.description","Bihänder (2h) (WB+3, INI-2, GA-4), mag. Langschwert +1 (WB+3, INI+1, GA-1)","mag. Kettenpanzer +1 (PA+3), Metallhelm (PA+1, INI-1), Plattenarmschienen (PA+1, LA-0.5), Plattenbeinschienen (PA+1, LA-0.5)",,
Gruftplünderer,Slay! #3,Untote,,,,,,6,8,6,2,5,4,1,5,0,17,14,5,9,9,14,,,4,no,94,"Diebeskunst, Dunkelsicht, Geistesimmun, Kletterläufer, Wesen der Dunkelheit (Settingoption)","Diebeskunst: DS4CreatureTalent.thievery.description, Dunkelsicht: DS4CreatureTalent.darkvision.description, Geistesimmun: DS4CreatureTalent.mentalimmunity.description, Kletterläufer: DS4CreatureTalent.climb.description, Wesen der Dunkelheit (Settingoption): DS4CreatureTalent.creatureofdarkness.description","Kurzschwert (WB+1), Kurzbogen (2h) (WB+1, INI+1)","Lederpanzer (PA+1), Lederschienen (Arm & Bein) (PA+1)",,
Gruftritter,Das Geheimnis der heiligen Quelle,Mensch,Mensch,KRI,3,Talentiert,,8,7,5,6,1,1,2,2,0,20,7,4,16,19,9,,,6,no,59,"Kämpfer III, Parade I","Kämpfer III: DS4Talent.fighter.description, Parade I: DS4Talent.parade.description",Langschwert (WB+2),"Kettenpanzer (PA+2, LA-0.5), Holzschild (PA+1), Lederschienen (Arm & Bein) (PA+1), Metallhelm (PA+1, INI-1)",,
Gärtner,Slayerforum,Halbling,Halbling,SPÄ,1,"Geschwind, Klein, Leichtfüßig, Magisch unbegabt, Talentiert, Zäher als sie aussehen",,6,8,6,0,2,2,2,4,0,18,12,5,9,7,14,,,1,kl,51,"Jäger I, Schütze I, Wissensgebiet I, Wissensgebiet I, Wissensgebiet I, Wissensgebiet I","Jäger I: DS4Talent.hunter.description, Schütze I: DS4Talent.shooter.description, Wissensgebiet I: DS4Talent.knowledge.description, Wissensgebiet I: DS4Talent.knowledge.description, Wissensgebiet I: DS4Talent.knowledge.description, Wissensgebiet I: DS4Talent.knowledge.description",Speer (WB+1),Lederpanzer (PA+1),,
Hai,Dungeonslayers Basisbox,Tiere,,,,,,13,6,1,4,3,0,3,0,0,39,9,6,16,19,6,,,9,no,106,"Natürliche Waffen, Schwimmen, Sturmangriff","Natürliche Waffen: DS4CreatureTalent.naturalweapons.description, Schwimmen: DS4CreatureTalent.swim.description, Sturmangriff: DS4CreatureTalent.charge.description","Großer Biss (WB+2, GA-2)",,,
Halblingskelett,Die Pyramide des Eck Wan,Untote,,,,,,10,8,0,3,2,0,2,2,4,11,10,5,12,14,10,,,3,kl,58,"Geistesimmun, Wesen der Dunkelheit (Settingoption)","Geistesimmun: DS4CreatureTalent.mentalimmunity.description, Wesen der Dunkelheit (Settingoption): DS4CreatureTalent.creatureofdarkness.description",Kochenklauen (WB+1),,,
Harpyie,Dungeonslayers Basisbox,Magische Wesen,,,,,,8,6,6,2,2,1,2,1,2,20,8,4,11,12,7,8,,5,no,108,"Bezaubern, Fliegen, Nachtsicht, Natürliche Waffen, Sturzangriff","Bezaubern: DS4CreatureTalent.charm.description, Fliegen: DS4CreatureTalent.fly.description, Nachtsicht: DS4CreatureTalent.nightvision.description, Natürliche Waffen: DS4CreatureTalent.naturalweapons.description, Sturzangriff: DS4CreatureTalent.stuka.description",Krallenklaue (WB+2),Federkleid (PA+1),,Lockruf (funktioniert wie der Zauberspruch Gehorche; Abklingzeit des Lockrufs: 10 Kampfrunden) (undefined)
Harringer,Dungeonslayers Basisbox,Mensch,Mensch,KRI,4,Talentiert,,7,6,7,4,0,3,5,0,0,22,6,3.5,14,13,6,,,2,no,58,,,Langschwert (WB+2),"Kettenpanzer (PA+2, LA-0.5)",,
Hartmund,Der schwarze Ritter,Mensch,Mensch,Hei,10,Talentiert,,6,6,8,0,0,6,2,5,7,18,6,4,8,7,11,15,14,1,no,88,"Fürsorger III, Manipulator III, Zaubermacht III, Bildung I, Wissensgebiet I","Fürsorger III: DS4Talent.welfare.description, Manipulator III: DS4Talent.manipulator.description, Zaubermacht III: DS4Talent.powerofmagic.description, Bildung I: DS4Talent.education.description, Wissensgebiet I: DS4Talent.knowledge.description","Kampfstab (2h) (WB+1, Zielzauber +1)",Robe (runenbestickt) (Aura +1),,"Allheilung (+3), Blenden (-(AGI+AU)/2), Einschläfern (-(KÖR+VE)/2+3), Freund (-(GEI+VE)/2+3), Giftbann (0), Heilende Hand (+4), Heilendes Licht (+5), Kleiner Terror (-(GEI+VE)/2+3), Schutzschild (+3), Verlangsamen (-(KÖR+AU)/2), Verwirren (-(GEI+AU)/2+3)"
Heiler/Schütze 01,Beispiele,Mensch,Mensch,Hei,1,Talentiert,,5,7,8,0,0,1,4,5,1,19,8,4.5,10,5,13,13,,1,no,58,"Fürsorger III, Rüstzauberer I","Fürsorger III: DS4Talent.welfare.description, Rüstzauberer I: DS4Talent.armormage.description","Kurzbogen (2h) (WB+1, INI+1)","Lederschienen (Arm & Bein) (PA+1), Robe (runenbestickt) (Aura +1)",,Heilende Hand (+4)
Heiler/Schütze 04,Beispiele,Mensch,Mensch,Hei,4,Talentiert,,5,7,8,0,0,2,4,5,3,25,8,4.5,10,5,17,11,16,1,no,79,"Fürsorger III, Einstecker II, Abklingen I, Rüstzauberer I","Fürsorger III: DS4Talent.welfare.description, Einstecker II: DS4Talent.endurance.description, Abklingen I: DS4Talent.cooldown.description, Rüstzauberer I: DS4Talent.armormage.description","Langbogen (2h) (WB+2, INI+1)","Lederschienen (Arm & Bein) (PA+1, Schütze +III), Robe (runenbestickt) (Aura +1)",,"Flackern (+1), Heilende Hand (+4), Heilendes Licht (+5), Magische Waffe (0), Segen (0)"
Heiler/Schütze 08,Beispiele,Mensch,Mensch,Hei,8,Talentiert,,5,7,8,0,0,3,4,5,6,25,10,4.5,13,5,18,15,17,3,no,87,"Fürsorger III, Abklingen II, Einstecker II, Rüstzauberer I, Schnelle Reflexe I, Schütze I, Vertrauter I","Fürsorger III: DS4Talent.welfare.description, Abklingen II: DS4Talent.cooldown.description, Einstecker II: DS4Talent.endurance.description, Rüstzauberer I: DS4Talent.armormage.description, Schnelle Reflexe I: DS4Talent.quickreflexes.description, Schütze I: DS4Talent.shooter.description, Vertrauter I: DS4Talent.confidant.description","Langbogen (2h) (WB+2, INI+1)","Lederschienen (Arm & Bein) (PA+1, Schütze +III), Robe (runenbestickt) (Aura +1)","Ring (Abwehr +3), Vertrauter (Zaubern +1)","Flackern (+1), Glühender Glaube (-2), Heilbeeren (+3), Heilende Hand (+4), Heilendes Licht (+5), Magische Rüstung (+3), Magische Waffe (0), Schutzschild (+3), Segen (0)"
Heiler/Schütze 12,Beispiele,Mensch,Mensch,Hei,12,Talentiert,,5,7,8,0,0,5,4,5,8,25,10,4.5,13,5,21,17,19,4,no,104,"Fürsorger III, Schütze III, Abklingen II, Einstecker II, Rüstzauberer I, Schnelle Reflexe I, Scharfschütze I, Vertrauter I, Wissensgebiet I","Fürsorger III: DS4Talent.welfare.description, Schütze III: DS4Talent.shooter.description, Abklingen II: DS4Talent.cooldown.description, Einstecker II: DS4Talent.endurance.description, Rüstzauberer I: DS4Talent.armormage.description, Schnelle Reflexe I: DS4Talent.quickreflexes.description, Scharfschütze I: DS4Talent.sharpshooter.description, Vertrauter I: DS4Talent.confidant.description, Wissensgebiet I: DS4Talent.knowledge.description","Elfenbogen (2h) (WB+3, INI+1)","Lederschienen (Arm & Bein) (PA+1, Schütze +III), Robe (runenbestickt) (Aura +1)","Ring (Abwehr +3), Ring (Wechsler +V), Vertrauter (Zaubern +1)","Flackern (+1), Glühender Glaube (-2), Heilbeeren (+3), Heilende Hand (+4), Heilende Strahlen (+3), Heilendes Licht (+5), Magische Rüstung (+3), Magische Waffe (0), Schutzschild (+3), Segen (0)"
Heimsucher,Slay! #3,Untote,,,,,,5,9,7,8,6,5,8,7,1,23,15,5.5,21,13,17,,,14,no,180,"Angst, Dunkelsicht, Fliegen, Geistesimmun, Totenkraft, Werteverlust, Wesen der Dunkelheit (Settingoption)","Angst: DS4CreatureTalent.fear1.description, Dunkelsicht: DS4CreatureTalent.darkvision.description, Fliegen: DS4CreatureTalent.fly.description, Geistesimmun: DS4CreatureTalent.mentalimmunity.description, Totenkraft: DS4CreatureTalent.forceofdeath.description, Werteverlust: DS4CreatureTalent.losskor.description, Wesen der Dunkelheit (Settingoption): DS4CreatureTalent.creatureofdarkness.description","Schattenpfeil (WB+1, GA-2)",Körperlos (PA+8),,
Hellweiter Diplomat,Slayerforum,Mensch,Mensch,SPÄ,1,Talentiert,,6,6,8,0,0,4,0,1,5,16,7,4,7,6,7,,,1,no,47,"Bildung I, Charmant I, Schlitzohr I, Wahrnehmung I, Wissensgebiet I, Wissensgebiet I","Bildung I: DS4Talent.education.description, Charmant I: DS4Talent.charmant.description, Schlitzohr I: DS4Talent.rascal.description, Wahrnehmung I: DS4Talent.perception.description, Wissensgebiet I: DS4Talent.knowledge.description, Wissensgebiet I: DS4Talent.knowledge.description",Dolch (INI+1),Lederpanzer (PA+1),,
Heob (Ordensheiler),Avakars Runde,Mensch,Mensch,Hei,6,Talentiert,,8,5,7,4,0,3,4,0,4,22,5,3.5,16,13,5,11,,3,no,84,"Fürsorger III, Diener des Lichts II, Wechsler II, Wissensgebiet II, Charmant I, Rüstzauberer I","Fürsorger III: DS4Talent.welfare.description, Diener des Lichts II: DS4Talent.servantoflight.description, Wechsler II: DS4Talent.changer.description, Wissensgebiet II: DS4Talent.knowledge.description, Charmant I: DS4Talent.charmant.description, Rüstzauberer I: DS4Talent.armormage.description","Streitkolben (WB+1, GA-1)","Lederpanzer (PA+1, Parade +II, 1x aktionsfrei Waffe ziehen, Zauber: Bannen mit 12 Ladungen), Holzschild (PA+1, Blocker +III)",Krug (Zauber: Segen eingebettet),"Flackern (+1), Heilende Hand (+4), Schutzschild (+3), Stossgebet (-(KÖR+AU)/2), Vertreiben (-(KÖR+AU)/2), Wasser weihen (0)"
